problem_id,problem_text,answer,hint
8159,На день рождения полагается дарить букет из нечётного числа цветов. Тюльпаны стоят 55 рублей за штуку. У Вани есть 400 рублей. Из какого наибольшего числа тюльпанов он может купить букет Маше на день рождения?,7,деление с остатком+ условие
1054,"Найдите корень уравнения $2^{-4x-5} :2^{2x+3} =16$

 \textbf{}",-2,к основанию 2
11900,"В доме девятнадцать квартир с номерами от 1 до 19. В каждой квартире живёт не менее одного и не более трёх человек. В квартирах с 1-й по 12-ю включительно живёт суммарно 16 человек, а в квартирах с 9-й по 19-ю живёт суммарно 29 человек. Сколько всего человек живёт в этом доме?",37,"оценка в целых числах, формула вкл и искл"
3111,Найдите значение выражения $\left(4\sqrt{3} -2\right)\cdot \left(4\sqrt{3} +2\right)$.,44,разность квадратов
9241,"Путешественник из Москвы хочет посетить четыре города Золотого кольца России: Владимир, Ярославль, Суздаль и Ростов. Турагентство предлагает маршруты с посещением некоторых городов Золотого кольца. Сведения о стоимости билетов и маршрутах представлены в таблице.

\begin{center}
\begin{tabular}{|c|c|c|c|}
\hline
Номер маршрута&Посещаемые города&Стоимость (руб.)\\\hline
1&Ростов&1700 \\\hline
2&Ростов, Ярославль, Владимир&3750 \\\hline
3&Ярославль, Владимир&2050 \\\hline
4&Суздаль, Ростов&2850 \\\hline
5&Ярославль, Суздаль&2350 \\\hline
6&Суздаль, Владимир&2450 \\\hline
\end{tabular}
\end{center}

Какие маршруты должен выбрать путешественник, чтобы побывать во всех четырёх городах и затратить менее 6000 рублей?

В ответе укажите какой-нибудь один набор номеров маршрутов без пробелов, запятых и других дополнительных символов.",34,извлечь данные из таблицы
82,"В таблице показано расписание пригородных электропоездов по направлению Москва Курская-Тула.

\begin{center}
\begin{tabularx}{\textwidth}{|c|c|c|>{\centering\arraybackslash}X|} \hline
Номер электрички & Москва Курская & Тула & Время в пути \\ \hline
1 & 06:55 & 09:14 & 2:19 \\ \hline
2 & 07:00 & 10:18 & 3:18 \\ \hline
3 & 08:30 & 10:26 & 1:56 \\ \hline
4 & 10:22 & 13:47 & 3:25 \\ \hline
5 & 14:59 & 18:47 & 3:48 \\ \hline
\end{tabularx}
\end{center}


Какая из электричек Москва-Тула проводит в пути меньше всего времени? В ответе укажите номер этой электрички.",3,извлечь данные из таблицы
11935,"Обезьяны составляют 8\% всех животных в зоопарке. Сколько в зоопарке обезьян, если всего в зоопарке 350 животных?",28,процент от числа
90,"В таблице приведены данные о шести чемоданах.

\begin{center}
\begin{tabularx}{\textwidth}{|>{\centering\arraybackslash}X|c|c|c|c|} \hline
Номер чемодана & Длина (см) & Высота (см) & Ширина (см) & Масса (кг) \\ \hline
1 & 64 & 48 & 23 & 25 \\ \hline
2 & 82 & 70 & 51 & 22,5 \\ \hline
3 & 87 & 69 & 48 & 23 \\ \hline
4 & 77 & 61 & 44 & 20 \\ \hline
5 & 96 & 74 & 40 & 27 \\ \hline
6 & 89 & 72 & 46 & 24 \\ \hline
\end{tabularx}
\end{center}


По правилам авиакомпании сумма трёх измерений (длина, высота, ширина) чемодана, сдаваемого в багаж, не должна превышать 203~см, а масса не должна быть больше 23~кг. Какие чемоданы можно сдать в багаж по правилам этой авиакомпании?


В ответе укажите номера выбранных чемоданов без пробелов, запятых и других дополнительных символов.",24,извлечь данные из таблицы
7063,Налог на доходы составляет~13\% от заработной платы. После удержания налога на доходы Мария Константиновна получила 7830~рублей. Сколько рублей составляет заработная плата Марии Константиновны?,9000,число по проценту
4393,"Найдите $\cos x$, если $\sin x=- \dfrac{\sqrt{7} }{4} $ и $270{}^\circ <x<360{}^\circ $.",0.75,основное триг. Тождество
13550,"Расстояние между городами A и B равно 470 км. Из города A в город B 
со скоростью 60 км/ч выехал первый автомобиль, а через три часа после этого навстречу ему из города B выехал со скоростью 85 км/ч второй автомобиль. На каком расстоянии от города A автомобили встретятся? Ответ дайте в~километрах.",300,подсчеты
7064,"В школе французский язык изучают 77~учащихся, что составляет 20\% от числа всех учащихся школы. Сколько учащихся в школе?",385,число по проценту
7097,"Среди всех выпускников школы 10 человек собираются учиться в технических вузах, и они составляют 40\% от числа всех выпускников. Сколько в~этой школе выпускников?",25,число по проценту
5448,"Вероятность того, что новая шариковая ручка пишет плохо или вовсе не~пишет, равна 0,21. Покупатель, не~глядя, берёт одну шариковую ручку из~коробки. Найдите вероятность того, что эта ручка пишет хорошо.",0.79,1-Р
2293,Найдите значение выражения $2\dfrac{5}{14} +5+\dfrac{8}{7}$.,8.5,от обыкновенных дробей к десятичным
5261,Найдите корень уравнения $\left(\dfrac{1}{2} \right)^{x - 8} =8$.,5,к основанию 2
